timestamp,comment-id,author-id,comment-body
1438560741000,1,小K,那麼亞洲國家的現況呢？以新加坡或日本這兩個已開發的國家來說，是否有進行相關政策？
1438562257000,3,ypk,支持『同性婚姻法』
1438563441000,4,"Shaffer Lin",「政府對全體人民的人權有履行義務且不應以公眾之意見作為履行的條件」那現在在投什麼？自打嘴巴？信仰從來就不該是干預法律的理由取消結婚性別限制也根本就不會破壞或影響異性戀婚姻/家庭
1438565452000,5,"Oliver Lin",贊成歸贊成但更贊成就直接修民法就好了不用疊床架屋我要的沒有比較特別就是現在一堆人在結的那個婚姻
1438567526000,6,"蛍一 森里",與其以立法的方式來保障不如用修法的方式來保障不是比較方便一些?
1438567680000,7,楊剛,投你個花開富貴啦我要不要結婚關順性別異性戀沙豬什麼事啊？啊連個草案都沒有的東西是要投三小喔？民權是可以用民意決定的喔？以往的態度是要同運人士去各單位個別談個別處理，啊現在弄個配套都沒弄好的伴侶雞巴法是在弄三小啊？去你個玄天上帝騙票也不是這樣騙吧？法律是學到哪裡去了啊？羅瑩雪陳明堂這種人可以當上官亞洲民主燈塔的光還真熹微啊蛤！
1438568097000,8,黑桐喵,原來別人要不要結婚須要所有人一起投票決定。既然都說了「政府對全體人民的人權有履行義務且不應以公眾之意見作為履行的條件」，那這個是什麼？一個國家的行政機關居然還帶頭示範。是又想繼續開公聽會嘛？
1438568460000,9,"Janus Chang","讓更多人可以結婚到底有甚麼問題???? 一堆拿幾千年前教條來干預現代人生活的人真的是社會的敗類。"
1438578372000,10,"Thomas Chen","支持婚姻平權.一步到位.台灣並不以宗教立國.人民有人民的格調.請政府跟上我们的腳步.如果我们需要先行英國法國實施10-14年的伴侶法.才能走上平等的那一天.請政府明確告訴我们台灣就是一個民治未開.落後的國家....「政府對全體人民的人權有履行義務且不應以公眾之意見作為履行的條件」都這樣說了.還有什麼問題!   加油.好嗎?!"
1438586308000,11,"Yi Fan Feng",反對特別立法，應該將同性伴侶納入現行民法一體適用，請法務部不要用三個皆為特別法的議程設定來刻意引導民眾意見。
1438587344000,12,台灣公民,"反對同性類婚姻!!!結婚，需要註記，.....因為這不只是私人行為，同時也是公共行為。婚姻定義的認定會牽涉到國家所有相關的政策，比如:稅賦、福利、教育、生育、代理孕母、人工生殖、價值行銷、經濟、人口生態、移民...。會影響大眾""所有人""的生活。所以，當然不是一些人說了就算。因為不願意見到日後弱勢的婦女被利用成為代理孕母，更不願意看見為了滿足少數有錢人擁有小孩的私慾，在買賣精子卵子的人工生殖、一群無辜的小孩，永遠不知道自己是出自於哪一個爸爸或媽媽。所以，反對同姓類婚姻! !"
1438587778000,15,"Eugene Lin",照法務部的脈絡是否不同族群都要有各自的一套婚姻制度?!原住民、漢族、異性戀、同性戀、身高超過180的和體重超過70的等都應各要有一套婚姻制度才對啊為什麼只有同性戀要被特別標註出來呢?難道同性戀不是人不能享有人權嗎?
1438587963000,27,馮耿,"１。讚成同性也有婚姻的基本權利,但無須另設新法(改民法的用語定義不就好了@@?)。２。讚成伴侶法,但不須區分性傾向,不論同性戀或異性戀都有需求。３。絕對反對依性傾向另設專法。"
1438590174000,28,Rich,難道異性戀就沒有不孕症？異性戀也有代理孕母！不孕症的也有買小孩的事，這些不需要冠在同性戀身上吧！同性伴侶？那異性也要同居法嗎？同性戀也是有繳稅，還是說異性戀是多繳的呢？異性戀一夜情弄出人命的一堆，拿小孩的人也一堆，那這異性戀人也“影響所有人”，棄養的孤兒的新聞也層出不窮！人工生殖有多難啊，“一群無辜的小孩”看到就好笑，請多關懷那些孤兒院少年感化院的孩子，畢竟都是異性戀搞出來的事端吧，為何要拿同性戀納稅人的錢去彌補呢？婚姻就是婚姻，兩個人或兩家人的事！輿論害死多少家庭，中國人直是禮教吃人！傳統門當戶對造成多少怨偶？逼著傳宗接代生下小孩，這樣就是對的嗎？婚姻就是建立在愛的立足點上！
1438591339000,30,劉可萱,怎麼沒有修改民法以涵蓋同志婚姻的選項?反對立特別法，同志權利與一般人無異，應修民法以適用之
1438593352000,31,小白,命題本身就充滿歧視！我贊成修改民法，返還長期剝奪同性戀者組成配偶的權益！
1438593399000,32,"Fan-Hua Chen","贊成同性婚姻立法，但不支持同性""類""婚姻立法"
1438594120000,33,黃道明,當然是支持一步到位的同性婚姻法
1438595758000,35,"Susan liao",跟上先進國家的腳步，贊成同志婚姻法。讓同志朋友享有婚姻制度的權利，堅守1對1性的忠貞（婚姻法），也能減低未來hiv的感染率。
1438599130000,36,"Allen Dai","A marriage is a marriage, not ""gay marriage."" 反對立專法，隔離並非平等。你們設問就設得不對，得出的結論怎麼會中的？"
1438615729000,39,DR,應直接給予婚姻關係，而不是類似婚姻
1438616424000,40,"Sasha Wang",應該要有平等的婚姻關係，類似婚姻的隔離政策依舊是歧視
1438616964000,41,"Ato Otto",民法修正才是真平等。令修專法給同性戀者，反而是一種歧視性的隔離政策。
1438626023000,42,"Lih-woei Chen",我不喜歡這個標題，為什麼人權需要由其他人來評論是否可以給予...這應該是政府要保障的基本需求吧。
1438627216000,43,"Shinyng Huang",不知去哪找這樣的人才可以寫出這樣充滿歧視的命題
1438627824000,44,蕭思麟,需要寫入現有已存在的婚姻法律
